neighborhood,sqft,bedrooms,bathrooms,lot_size_sqft,year_built,stories,garage_spaces,has_basement,has_porch,renovated_last_10yrs,fireplace,condition_score,distance_to_downtown_km,crime_index,school_rating,walk_score,property_tax_annual,vacant_lot_nearby,sale_price
Boston-Edison,755.0,3,1.0,3173.0,1947,2.0,,1,1,0,1,,12.46,35.2,,,300.0,0,178508.0
Morningside,988.0,5,1.5,3529.0,1973,2.0,0.0,0,1,0,0,5.1,9.05,71.9,5.5,61.3,1516.0,0,12000.0
Midtown,1120.0,2,2.0,1728.0,1942,1.0,0.0,1,1,1,0,2.5,6.51,61.9,7.9,47.9,831.0,0,119176.0
Morningside,1639.0,3,1.5,5300.0,1902,2.0,0.0,1,1,0,0,,3.92,87.7,,70.4,2385.0,0,93355.0
Corktown,968.0,2,2.0,4992.0,1944,1.0,0.0,1,1,0,0,5.9,14.7,35.0,6.0,55.6,1626.0,0,180552.0
Boston-Edison,2196.0,3,2.5,6532.0,1918,2.0,2.0,1,1,0,0,6.2,8.38,40.4,6.3,40.3,3360.0,0,320068.0
Brightmoor,1513.0,3,1.5,5997.0,1898,1.5,1.0,1,1,1,1,6.1,0.5,83.0,4.5,66.5,1312.0,0,34603.0
Corktown,881.0,1,1.0,8146.0,1973,1.0,0.0,1,1,0,0,5.0,13.87,72.7,5.5,42.5,1890.0,0,151793.0
Morningside,2266.0,4,1.0,4920.0,1926,1.0,2.0,1,1,0,0,4.5,8.85,59.0,4.3,48.4,1326.0,0,99834.0
Palmer Woods,1425.0,4,1.0,5932.0,1966,1.0,1.0,1,0,0,0,7.3,11.52,32.8,8.2,57.1,2268.0,0,365770.0
Grandmont-Rosedale,481.0,4,2.0,3806.0,2009,1.0,0.0,1,0,0,0,6.7,2.68,78.5,6.5,75.0,2058.0,0,43914.0
Indian Village,1009.0,3,2.0,6500.0,1951,2.0,2.0,1,1,0,1,8.9,13.36,60.8,7.6,34.2,2508.0,0,276491.0
Russell Woods,943.0,3,2.0,5190.0,1936,2.0,1.0,0,1,0,1,6.3,16.64,59.0,4.8,42.5,1721.0,0,12000.0
Morningside,839.0,2,1.0,4361.0,1994,1.5,1.0,0,1,1,0,5.0,7.69,70.0,2.7,38.2,623.0,0,12000.0
Chadsey-Condon,970.0,2,1.0,6301.0,1924,2.5,0.0,0,1,1,0,2.9,7.22,95.7,2.6,61.1,2330.0,0,12000.0
Greenfield,1428.0,2,1.5,4494.0,1931,2.0,1.0,0,1,1,0,2.5,7.61,58.0,6.2,35.9,1642.0,1,12000.0
Russell Woods,1034.0,3,1.0,6236.0,1918,1.0,1.0,1,0,0,1,4.9,12.05,69.8,4.4,48.4,2449.0,0,12000.0
Indian Village,1175.0,3,1.5,4189.0,1920,1.0,0.0,1,1,1,0,6.7,16.69,58.7,8.0,51.9,1631.0,0,269703.0
Corktown,947.0,3,2.0,3108.0,1951,1.0,1.0,1,1,1,1,7.9,11.2,27.6,5.6,51.1,2315.0,0,254566.0
Chadsey-Condon,2375.0,2,1.0,2270.0,1971,1.0,2.0,0,1,0,0,3.8,11.18,74.6,3.8,56.8,1497.0,0,12000.0
Boston-Edison,958.0,3,1.0,1594.0,1949,2.0,0.0,1,1,0,0,7.9,16.86,42.5,4.7,15.3,973.0,0,164470.0
Boston-Edison,2140.0,2,2.0,5770.0,1929,1.0,0.0,1,1,1,0,8.0,18.5,58.8,7.8,56.5,1345.0,0,358786.0
Indian Village,1219.0,2,2.0,5281.0,1937,1.0,0.0,1,1,0,1,7.1,12.81,46.5,6.5,27.1,2488.0,0,269797.0
Morningside,1088.0,3,1.0,1892.0,1970,1.0,0.0,1,0,0,0,4.2,8.37,75.3,4.2,50.5,1655.0,0,12000.0
Morningside,1971.0,4,2.0,3214.0,1960,1.0,1.0,1,1,0,0,5.7,3.75,62.2,5.8,56.3,2976.0,0,97472.0
Bagley,480.0,3,1.0,4555.0,1975,1.0,0.0,1,0,0,0,6.1,7.09,52.4,6.6,41.6,2193.0,0,12000.0
Russell Woods,1086.0,3,1.0,5443.0,1896,2.0,0.0,1,1,0,1,4.7,4.65,97.6,5.0,51.3,2281.0,0,12000.0
West Village,1580.0,2,1.0,4830.0,1930,1.0,1.0,0,1,0,1,5.3,11.37,25.6,7.2,63.9,1882.0,0,232287.0
Midtown,1174.0,3,2.0,7507.0,1912,1.0,2.0,0,1,0,0,6.5,11.92,50.3,8.1,42.6,2122.0,0,112001.0
Corktown,2426.0,3,1.0,4322.0,1927,2.5,1.0,1,1,0,0,4.5,6.81,52.2,5.9,53.1,1705.0,0,333715.0
Sherwood Forest,1001.0,3,3.5,3529.0,1955,1.0,1.0,1,1,0,0,3.3,7.72,59.3,5.8,65.7,1829.0,0,60709.0
Cody Rouge,1400.0,2,1.5,5244.0,1936,1.0,0.0,1,1,0,0,5.0,1.21,68.7,4.3,69.9,1840.0,0,12000.0
Palmer Woods,1328.0,2,1.5,1200.0,1946,2.0,0.0,1,1,0,0,,6.16,73.5,,58.2,2227.0,0,374717.0
Sherwood Forest,1223.0,1,1.5,2553.0,2016,2.0,1.0,0,1,1,0,7.3,4.68,61.7,6.8,48.1,1907.0,0,165233.0
Corktown,1848.0,4,1.5,5174.0,1918,2.0,2.0,0,1,0,1,6.0,7.95,65.3,7.5,28.5,1727.0,0,345432.0
Chadsey-Condon,1465.0,4,1.0,5685.0,1937,1.0,2.0,0,1,0,0,4.3,13.11,95.5,4.3,35.6,1366.0,0,12000.0
Grandmont-Rosedale,1047.0,3,2.5,5455.0,1945,1.5,2.0,1,1,1,0,7.1,22.44,76.5,5.2,46.2,2184.0,0,62821.0
Warrendale,1961.0,4,1.5,4726.0,1963,1.5,2.0,1,1,1,1,3.3,11.59,100.0,3.7,44.2,1787.0,0,30031.0
Corktown,1085.0,4,1.0,7444.0,1969,1.5,1.0,1,1,1,1,8.9,10.78,52.7,6.0,55.5,2605.0,0,251169.0
Lafayette Park,1533.0,4,1.5,4583.0,1944,1.5,2.0,1,1,1,0,7.3,4.16,47.2,7.0,38.1,699.0,0,225300.0
University District,1713.0,3,2.5,2631.0,1945,2.0,0.0,1,1,1,0,6.4,6.34,32.4,6.7,76.5,1529.0,0,261388.0
Morningside,2289.0,4,1.5,4840.0,1900,1.0,0.0,0,1,0,0,6.9,2.18,65.7,4.9,49.9,1609.0,0,120511.0
West Village,2041.0,4,1.5,4711.0,1976,1.0,1.0,1,0,0,0,8.0,11.12,59.0,5.9,61.7,1655.0,0,272221.0
Jefferson-Chalmers,2207.0,4,1.0,4600.0,1961,2.5,1.0,0,0,1,1,5.6,9.41,72.6,5.2,50.3,2762.0,0,152251.0
Chadsey-Condon,1124.0,3,1.0,4388.0,1998,1.5,2.0,0,1,1,0,2.2,7.25,85.8,4.5,53.3,699.0,0,12000.0
Sherwood Forest,2005.0,2,1.5,1958.0,1966,1.0,1.0,1,1,1,0,7.6,12.68,67.6,6.2,66.4,704.0,0,178067.0
Greenfield,1450.0,2,2.5,4718.0,1959,1.0,2.0,1,1,0,1,5.1,7.69,50.7,4.3,51.5,3094.0,1,20291.0
Greenfield,1002.0,2,1.5,3459.0,1935,2.0,0.0,1,1,0,0,3.6,12.99,69.5,3.1,26.3,2287.0,1,12000.0
Grandmont-Rosedale,1152.0,4,1.5,7190.0,1926,1.0,0.0,0,0,1,1,4.1,14.18,62.6,4.8,43.8,1500.0,0,16024.0
Russell Woods,982.0,2,2.0,5562.0,1968,1.0,0.0,1,1,0,0,4.3,12.51,56.1,3.7,20.3,3098.0,0,12000.0
Indian Village,1637.0,3,2.0,6712.0,1968,2.0,1.0,0,1,0,0,7.1,11.63,49.6,8.4,16.3,1948.0,0,326907.0
Boston-Edison,1371.0,2,2.5,5929.0,1969,2.0,1.0,1,0,0,1,3.7,4.58,46.4,7.4,43.3,1825.0,0,313018.0
Boston-Edison,1006.0,3,1.0,4705.0,1963,1.0,1.0,1,1,1,0,3.8,10.48,56.1,5.5,34.1,2459.0,0,146974.0
Lafayette Park,1165.0,3,1.0,4087.0,1950,2.0,0.0,1,0,0,1,4.1,6.76,71.0,7.8,53.4,1904.0,0,96941.0
Brightmoor,990.0,2,1.5,5624.0,1985,1.5,0.0,1,1,0,0,3.3,4.6,100.0,3.2,60.9,1982.0,0,12000.0
University District,1925.0,3,1.5,5793.0,1954,2.0,1.0,1,0,0,0,6.5,10.05,48.1,5.0,47.0,4704.0,0,167689.0
Morningside,1779.0,3,1.0,5317.0,1929,1.0,2.0,0,0,0,1,3.9,8.85,65.4,2.5,66.2,1112.0,0,12000.0
Palmer Woods,1478.0,4,1.5,8592.0,1975,2.5,1.0,1,1,0,0,5.2,12.84,59.1,6.9,68.3,1845.0,0,390901.0
Corktown,1396.0,3,1.0,5323.0,1920,2.0,0.0,1,1,1,0,7.4,14.74,37.6,5.3,49.9,880.0,0,243890.0
Midtown,1819.0,3,1.0,4726.0,1948,2.0,2.0,0,1,0,0,6.1,9.27,57.1,7.4,23.3,3005.0,0,182197.0
Corktown,832.0,2,1.0,3663.0,1909,2.0,1.0,1,1,0,0,5.1,4.5,45.6,6.1,41.9,1310.0,0,158351.0
Boston-Edison,1634.0,3,1.0,3059.0,1948,1.0,1.0,0,1,0,0,6.2,6.8,37.8,6.0,49.7,1296.0,0,233064.0
Sherwood Forest,1825.0,3,1.0,3704.0,1988,1.5,0.0,0,1,0,1,5.7,13.47,83.1,6.5,31.7,1932.0,1,102360.0
Warrendale,1781.0,3,1.5,2985.0,1907,1.0,2.0,1,1,0,0,3.4,9.85,84.1,5.1,49.5,3249.0,0,12000.0
Chadsey-Condon,584.0,4,2.0,5893.0,1977,1.0,1.0,1,0,0,0,4.7,11.78,88.2,1.7,56.0,2731.0,0,12000.0
Bagley,867.0,5,1.5,4134.0,1935,1.0,1.0,1,1,0,0,6.2,8.55,69.9,5.2,42.5,2901.0,0,17401.0
Cody Rouge,1444.0,2,1.0,3891.0,1979,1.0,1.0,0,1,0,1,,9.16,70.5,4.5,76.6,300.0,0,12000.0
Sherwood Forest,1422.0,4,1.0,5279.0,1930,1.0,1.0,1,0,0,1,8.6,13.03,84.5,5.5,65.2,3114.0,0,116979.0
Midtown,788.0,3,2.0,6589.0,1950,2.0,1.0,1,0,0,0,6.8,7.17,48.2,6.8,59.0,2045.0,0,111081.0
Boston-Edison,827.0,2,1.5,6710.0,1943,1.0,1.0,0,0,0,1,7.4,5.35,60.3,6.9,49.9,1868.0,0,147228.0
East English Village,660.0,3,2.0,1200.0,1983,1.0,1.0,1,1,0,1,5.5,11.13,80.7,4.1,49.0,478.0,0,12000.0
Palmer Woods,1195.0,3,2.0,6014.0,1897,2.0,0.0,1,0,0,1,7.7,14.92,53.6,9.2,42.5,1692.0,0,340879.0
Greenfield,1281.0,2,1.0,3160.0,1904,1.0,,0,1,0,0,,10.73,98.2,,,2438.0,0,12000.0
University District,1280.0,3,2.5,5186.0,1986,1.5,1.0,1,1,0,0,4.6,11.62,84.8,5.1,42.9,2747.0,0,91793.0
Cody Rouge,1433.0,3,1.0,2829.0,1961,2.0,1.0,1,0,0,0,3.5,14.4,84.6,5.1,34.4,3134.0,0,12000.0
Midtown,1633.0,4,2.0,4416.0,1943,1.0,0.0,0,1,1,1,7.6,7.89,72.1,8.1,39.3,2259.0,0,256441.0
Morningside,818.0,2,1.0,6442.0,1942,1.5,2.0,1,1,0,1,5.8,5.84,62.0,6.2,46.2,636.0,0,12000.0
Grandmont-Rosedale,1610.0,3,2.0,6363.0,1932,1.0,0.0,0,1,0,1,6.0,12.23,49.7,4.0,38.7,1241.0,0,81801.0
Midtown,1320.0,3,1.0,5091.0,1944,2.5,0.0,1,0,0,0,5.6,5.55,49.2,6.8,61.0,2261.0,0,177872.0
Palmer Woods,633.0,2,1.5,4260.0,1942,1.0,0.0,1,1,0,0,8.2,14.52,16.7,7.9,39.7,2639.0,0,325056.0
Lafayette Park,1804.0,4,1.0,6014.0,1958,1.0,1.0,1,1,0,0,3.6,18.55,83.6,5.7,55.1,1816.0,0,187468.0
West Village,730.0,3,1.0,5180.0,1973,1.0,0.0,1,1,0,0,6.7,20.34,48.9,6.9,34.7,2094.0,1,109031.0
Indian Village,1315.0,2,1.5,2100.0,1972,2.0,2.0,1,0,0,0,5.5,8.81,57.6,7.1,61.8,1519.0,0,235904.0
Boston-Edison,1302.0,2,2.0,7355.0,1967,1.0,1.0,1,1,0,0,7.0,5.83,43.9,6.4,68.3,2181.0,0,228010.0
Bagley,1313.0,4,2.0,5217.0,1972,2.0,0.0,1,1,1,0,4.2,8.41,53.3,4.5,23.3,2373.0,0,91094.0
Morningside,1008.0,3,2.0,4383.0,1965,1.0,0.0,1,1,0,0,3.7,9.58,69.3,5.3,37.6,2979.0,0,12000.0
West Village,811.0,2,1.0,3929.0,1944,1.0,0.0,1,0,0,1,4.7,14.11,54.5,7.6,44.1,2270.0,0,66798.0
Midtown,1877.0,3,2.5,5761.0,1928,1.0,0.0,0,0,0,1,7.7,9.33,43.4,7.8,44.3,1941.0,1,189405.0
East English Village,1583.0,4,1.5,3350.0,1941,1.0,0.0,1,1,0,1,4.5,5.07,61.7,5.0,39.2,1837.0,1,27380.0
Morningside,1350.0,1,1.0,7378.0,1959,2.0,,1,1,0,1,,5.27,85.3,,,1460.0,1,12000.0
Cody Rouge,2126.0,4,2.0,5078.0,1925,1.5,2.0,1,1,0,1,,10.39,82.8,,35.8,1912.0,0,103327.0
Warrendale,857.0,3,1.0,5547.0,1944,1.0,2.0,1,0,0,0,4.5,0.5,65.0,5.1,60.0,1384.0,0,12000.0
Cody Rouge,2757.0,5,1.5,5088.0,1926,1.0,1.0,1,1,0,1,3.3,10.5,77.7,2.2,55.6,999.0,0,85391.0
West Village,1126.0,3,1.0,2644.0,1934,2.0,2.0,0,1,0,1,3.8,3.62,53.0,6.7,50.3,1597.0,0,214900.0
Brightmoor,1959.0,5,1.0,5868.0,1938,1.0,1.0,1,0,0,0,1.6,8.0,100.0,2.9,68.5,2394.0,0,12000.0
Sherwood Forest,1784.0,4,1.0,9568.0,1923,2.0,0.0,1,0,0,0,3.9,9.88,70.2,6.9,73.0,1471.0,0,193097.0
Warrendale,1846.0,2,1.0,1522.0,1938,1.5,2.0,1,1,0,0,4.6,10.82,96.1,3.9,53.0,2170.0,0,12000.0
Grandmont-Rosedale,713.0,4,2.0,3750.0,1961,1.0,2.0,1,1,1,0,5.7,10.17,49.0,6.9,42.0,1510.0,1,30030.0
Jefferson-Chalmers,1497.0,3,2.0,5785.0,1942,1.0,1.0,1,0,0,0,4.5,4.96,72.5,4.6,40.9,1554.0,0,34312.0
Jefferson-Chalmers,1390.0,3,2.0,7149.0,1954,1.0,1.0,1,1,0,0,3.8,11.93,75.9,5.3,49.9,682.0,0,19642.0
Cody Rouge,1383.0,4,1.0,4558.0,1937,2.0,0.0,0,1,0,1,6.1,9.46,92.9,3.1,50.7,2417.0,0,12000.0
East English Village,1623.0,4,1.5,5021.0,1950,2.5,1.0,1,0,1,0,3.5,8.6,35.3,6.5,35.0,1850.0,0,91552.0
Chadsey-Condon,2028.0,3,1.0,4787.0,1952,1.0,1.0,1,0,0,1,5.3,10.88,100.0,1.5,44.7,3494.0,1,12000.0
Chadsey-Condon,1868.0,3,1.5,6278.0,1974,2.0,1.0,1,0,0,0,2.4,9.01,94.9,2.6,33.4,3242.0,0,12000.0
Warrendale,851.0,5,1.0,6981.0,1957,1.5,0.0,0,1,1,0,4.9,14.03,64.0,2.4,39.8,3192.0,0,12000.0
Lafayette Park,545.0,2,2.0,8710.0,1932,1.0,2.0,0,1,0,0,9.4,16.16,46.4,6.8,22.2,1273.0,0,42234.0
East English Village,581.0,3,2.0,3816.0,1916,2.0,2.0,1,1,0,0,3.4,11.59,70.3,7.4,42.4,3469.0,1,12000.0
Morningside,1339.0,5,1.0,5443.0,1972,2.0,1.0,1,1,1,0,5.8,8.62,51.8,6.9,58.6,1162.0,0,87767.0
Greenfield,1766.0,3,2.5,1620.0,1947,2.0,1.0,0,1,0,0,2.8,10.94,59.5,4.4,40.9,915.0,1,12000.0
West Village,1226.0,4,2.0,7160.0,1936,1.5,2.0,1,0,0,0,4.7,12.1,52.8,6.6,41.5,1023.0,0,206760.0
Boston-Edison,2278.0,3,1.5,4507.0,1939,1.0,2.0,1,1,1,0,5.6,8.22,48.0,6.4,39.2,2665.0,0,308779.0
Jefferson-Chalmers,1372.0,3,1.0,4176.0,1924,1.5,0.0,1,1,0,1,5.3,5.85,53.3,6.3,52.2,2391.0,0,53637.0
Palmer Woods,1136.0,2,2.0,3257.0,1935,1.0,1.0,1,0,1,0,6.4,5.35,31.9,8.6,66.3,1189.0,0,419038.0
Brightmoor,2088.0,3,1.5,7642.0,1933,1.0,1.0,1,1,0,0,5.1,7.67,68.6,3.2,34.7,1648.0,0,22221.0
Corktown,1819.0,1,1.5,5950.0,1924,1.0,2.0,1,1,0,0,6.7,7.09,34.9,6.9,43.9,2229.0,1,300256.0
Indian Village,1021.0,2,1.0,6693.0,1959,1.0,1.0,1,1,0,0,5.6,10.24,40.7,5.6,47.9,2201.0,0,246920.0
Bagley,1049.0,2,2.0,8254.0,1968,1.0,1.0,0,1,1,0,5.6,12.65,65.5,6.3,36.0,1900.0,0,81168.0
Sherwood Forest,1575.0,3,1.5,4480.0,1949,2.0,2.0,1,1,1,0,4.6,3.65,68.4,6.8,78.0,2921.0,0,208060.0
Boston-Edison,839.0,4,1.0,2941.0,1963,2.0,2.0,1,0,0,0,6.6,4.03,40.8,9.0,46.8,2663.0,0,196733.0
Sherwood Forest,1706.0,4,1.0,7018.0,1955,1.0,1.0,1,1,0,1,5.3,12.92,83.4,5.9,45.5,2448.0,0,130393.0
Cody Rouge,2232.0,2,2.5,4516.0,1940,1.0,1.0,1,1,0,0,5.0,11.61,74.6,4.0,57.4,1442.0,0,56008.0
University District,1508.0,1,1.5,4488.0,1971,1.0,1.0,1,0,1,1,5.0,3.5,69.1,7.7,67.1,2882.0,0,194535.0
Sherwood Forest,697.0,5,1.5,3986.0,1982,1.0,0.0,1,1,0,0,5.3,3.83,33.4,6.4,51.0,2262.0,0,69949.0
Bagley,1668.0,1,1.5,4942.0,1924,1.0,0.0,1,1,0,1,5.1,8.92,70.4,8.3,45.0,1973.0,0,75701.0
Warrendale,1707.0,4,1.5,2681.0,1938,1.0,2.0,0,1,0,0,5.8,7.88,71.4,4.5,41.7,300.0,0,26107.0
Warrendale,499.0,1,1.0,6883.0,1943,1.0,1.0,0,0,0,0,4.5,8.45,70.1,4.7,42.4,2881.0,0,12000.0
East English Village,1877.0,2,1.0,5952.0,1909,2.0,1.0,0,0,0,1,7.2,3.42,72.6,3.0,69.6,1929.0,0,63204.0
Boston-Edison,1188.0,3,1.0,7372.0,1918,1.0,0.0,1,0,1,0,5.0,7.88,65.7,5.8,35.7,1856.0,0,115415.0
Brightmoor,480.0,2,2.0,7388.0,1922,1.0,1.0,1,1,0,1,2.3,16.44,100.0,2.9,29.0,1665.0,0,12000.0
East English Village,1516.0,2,2.0,5278.0,1940,1.0,1.0,1,1,0,0,4.2,8.4,79.3,5.1,45.4,1717.0,0,13146.0
Corktown,1228.0,3,1.5,5666.0,1913,2.0,0.0,1,0,0,0,7.2,7.03,67.7,6.6,43.9,2598.0,0,262600.0
Midtown,480.0,3,2.5,1200.0,1939,2.0,1.0,1,1,0,1,3.8,0.5,34.4,6.8,55.7,2040.0,0,118337.0
Midtown,1546.0,1,2.0,2291.0,1926,2.0,1.0,1,1,0,1,2.2,6.65,63.0,6.4,55.0,1254.0,0,161144.0
Boston-Edison,561.0,3,1.0,3385.0,1930,2.0,0.0,0,1,1,0,3.6,9.02,59.1,5.9,40.4,2048.0,0,170735.0
Boston-Edison,2058.0,4,1.0,4956.0,1935,2.0,1.0,1,0,1,1,8.7,12.04,63.0,7.6,40.2,1418.0,0,336874.0
West Village,1340.0,4,1.0,6837.0,1912,1.0,1.0,0,1,1,0,6.5,14.27,28.2,5.6,45.2,2298.0,0,215249.0
Indian Village,1316.0,3,2.0,4725.0,1939,1.0,1.0,1,0,0,1,7.2,16.19,40.0,6.1,49.8,3292.0,0,232467.0
Sherwood Forest,1194.0,4,1.0,7458.0,1924,1.0,2.0,0,1,0,0,7.0,6.76,64.0,6.1,63.0,2805.0,0,95861.0
Lafayette Park,2496.0,3,2.0,3001.0,1922,2.0,0.0,0,1,0,0,,12.05,68.4,,,2557.0,1,173316.0
Morningside,1560.0,2,1.0,5445.0,1990,1.0,1.0,1,0,0,0,5.0,7.97,40.0,5.2,51.1,1590.0,0,27504.0
Midtown,1301.0,3,2.0,1200.0,1950,2.5,1.0,1,1,1,1,7.7,5.28,39.7,8.2,46.6,1576.0,0,245090.0
Jefferson-Chalmers,1053.0,3,2.0,3871.0,1960,1.0,1.0,1,1,0,0,5.4,5.93,81.1,7.6,58.1,2845.0,0,35785.0
Greenfield,1451.0,3,2.5,1294.0,1925,1.0,2.0,1,1,0,0,3.5,9.58,87.1,4.0,40.3,1833.0,0,12000.0
Sherwood Forest,1439.0,3,1.5,7553.0,1960,1.0,0.0,1,1,1,0,4.1,9.14,55.8,3.6,63.6,1682.0,0,133196.0
Lafayette Park,1233.0,2,2.5,1200.0,1927,2.0,1.0,1,0,0,0,5.5,7.47,35.6,6.7,48.5,2124.0,0,144307.0
Chadsey-Condon,1321.0,4,1.5,2891.0,1977,1.5,0.0,1,1,0,0,6.4,6.46,88.6,4.4,64.3,956.0,1,12000.0
West Village,1599.0,3,2.5,4222.0,1926,1.5,2.0,1,1,1,1,4.5,0.5,35.1,5.5,44.8,1506.0,0,297147.0
Jefferson-Chalmers,1064.0,5,1.0,9636.0,1962,1.5,0.0,1,1,0,0,5.2,7.69,65.1,4.9,44.4,1080.0,0,31369.0
Palmer Woods,1384.0,2,1.5,6387.0,1956,1.5,,0,0,0,0,,0.5,37.1,,,1853.0,0,402523.0
University District,1626.0,4,1.0,4294.0,1949,2.5,0.0,0,1,0,1,3.5,6.7,39.9,7.0,56.1,1481.0,0,188444.0
Lafayette Park,1378.0,2,1.0,4128.0,1961,1.0,0.0,1,1,0,0,3.3,12.64,46.8,5.4,46.6,1880.0,0,118558.0
Chadsey-Condon,1606.0,3,1.5,3544.0,1951,2.5,1.0,1,1,1,0,5.8,5.76,70.2,3.4,64.6,2244.0,0,20808.0
Midtown,1865.0,4,1.5,6922.0,1942,1.0,1.0,1,0,0,1,7.3,7.79,58.3,6.5,42.2,2351.0,0,237928.0
West Village,1948.0,3,1.0,1952.0,1935,1.0,1.0,1,1,0,0,6.9,2.21,46.0,7.2,57.5,1445.0,0,262707.0
West Village,1441.0,2,1.5,1200.0,1958,2.0,0.0,1,1,0,0,4.6,5.54,49.8,8.1,55.1,1768.0,1,180756.0
Lafayette Park,967.0,4,2.0,6521.0,1954,2.0,1.0,1,1,0,1,4.1,11.33,28.8,7.0,40.1,3347.0,0,117880.0
Grandmont-Rosedale,775.0,1,1.0,3978.0,1968,2.0,0.0,1,1,1,1,5.5,7.14,43.8,4.7,50.7,1063.0,0,45809.0
Cody Rouge,990.0,4,2.0,5477.0,1975,1.0,1.0,1,1,0,0,5.3,12.4,48.9,4.4,63.0,1533.0,1,12000.0
Greenfield,1129.0,4,1.0,4990.0,1939,1.0,2.0,1,0,0,0,5.0,3.69,82.6,4.4,51.6,2030.0,0,12000.0
West Village,1170.0,4,2.0,8398.0,1926,1.5,0.0,1,0,0,0,4.7,8.7,36.7,8.3,39.6,1400.0,0,121487.0
Sherwood Forest,1203.0,4,1.0,5614.0,1961,1.0,1.0,1,1,0,0,6.7,10.08,46.9,3.3,32.0,1432.0,0,80672.0
University District,1419.0,1,1.0,5832.0,1949,2.0,0.0,1,0,0,1,3.6,16.14,49.0,7.6,29.7,2381.0,0,70737.0
Lafayette Park,1859.0,2,1.0,3504.0,1892,1.0,0.0,1,1,1,0,6.7,13.76,57.8,7.1,42.2,1743.0,0,180052.0
Grandmont-Rosedale,2011.0,5,2.5,2418.0,1916,1.0,1.0,1,1,0,1,4.0,7.05,66.7,6.6,43.0,1636.0,0,112674.0
East English Village,1597.0,2,1.5,3009.0,1906,1.0,1.0,1,0,0,0,5.3,11.01,88.6,4.4,47.0,1922.0,0,12000.0
Cody Rouge,2471.0,4,2.5,6414.0,1944,1.0,0.0,0,0,0,0,5.3,11.0,74.7,5.6,50.7,300.0,0,92721.0
Chadsey-Condon,1043.0,4,1.0,3285.0,1974,1.5,1.0,1,0,0,0,4.3,7.77,79.9,4.7,53.7,3526.0,1,12000.0
Morningside,1662.0,3,1.0,7943.0,1960,1.0,2.0,0,1,0,0,3.5,3.6,78.4,5.9,40.3,3256.0,0,33847.0
Indian Village,738.0,2,1.0,3986.0,1969,2.0,1.0,1,1,0,0,5.8,8.97,62.1,6.5,51.5,2180.0,0,173748.0
East English Village,1252.0,4,2.0,4723.0,1969,1.5,0.0,1,1,0,0,5.5,3.46,87.3,6.1,37.8,3019.0,1,28333.0
Corktown,1386.0,3,2.0,2608.0,1957,2.0,2.0,1,0,0,0,5.3,7.4,51.0,6.7,37.2,1555.0,0,216136.0
Cody Rouge,3223.0,5,1.5,5564.0,1974,2.0,1.0,1,1,1,0,,10.06,53.2,,62.6,1694.0,0,196082.0
Bagley,1493.0,3,2.0,5318.0,1937,2.0,0.0,1,1,0,0,3.4,4.19,59.0,7.8,78.6,2540.0,0,78406.0
West Village,1429.0,4,2.0,1622.0,1978,2.0,1.0,1,1,0,1,7.7,0.5,37.7,5.6,63.3,1789.0,0,261079.0
Greenfield,1603.0,3,2.0,5761.0,1952,1.0,0.0,1,1,0,0,3.4,5.45,74.4,6.3,50.7,2641.0,0,19201.0
University District,1269.0,1,1.0,5625.0,1943,1.0,1.0,1,1,0,0,6.6,9.05,77.3,6.8,49.3,2129.0,0,110037.0
Warrendale,1806.0,2,1.5,8455.0,1952,2.0,0.0,1,1,1,0,4.3,16.52,89.9,3.3,11.2,2008.0,0,12000.0
Indian Village,811.0,4,1.0,3586.0,1938,2.0,1.0,1,1,0,1,6.4,0.74,22.5,7.3,39.0,1945.0,0,253749.0
Lafayette Park,580.0,3,1.5,3286.0,1909,1.0,1.0,1,1,1,0,4.9,2.34,51.3,5.7,58.1,300.0,0,76425.0
Russell Woods,1513.0,4,1.0,4082.0,1921,1.5,1.0,1,1,0,0,5.3,10.66,62.5,5.1,44.1,3054.0,0,12000.0
West Village,1512.0,3,1.0,4314.0,1978,1.0,0.0,1,1,0,1,2.8,6.13,72.2,4.9,75.8,1321.0,0,177116.0
Lafayette Park,1582.0,3,1.5,4566.0,1961,1.5,0.0,1,0,1,0,6.6,7.92,70.6,7.8,54.0,1543.0,0,178387.0
Lafayette Park,1016.0,3,1.0,5239.0,1942,1.0,2.0,0,1,1,1,3.6,13.61,50.5,5.5,43.7,2669.0,0,142922.0
East English Village,480.0,3,1.0,8065.0,1940,1.0,1.0,0,1,0,0,5.8,7.25,50.3,4.5,62.0,2210.0,1,12000.0
Palmer Woods,1488.0,4,2.5,2851.0,1977,2.0,1.0,1,0,0,0,5.0,10.73,74.8,6.8,61.3,2179.0,0,305100.0
Indian Village,751.0,3,2.0,5385.0,1950,2.0,1.0,1,1,0,0,5.4,8.3,50.4,8.8,62.4,2177.0,0,215671.0
Lafayette Park,1773.0,3,2.5,2852.0,1921,2.0,0.0,0,1,0,0,5.0,4.18,29.1,6.5,53.9,3142.0,0,205210.0
Russell Woods,881.0,3,2.0,6067.0,1937,1.0,0.0,1,0,0,0,5.4,13.06,56.0,3.8,45.4,1973.0,0,12000.0
Bagley,660.0,3,1.5,7659.0,1972,1.0,2.0,1,1,0,0,7.5,12.02,52.6,5.8,54.1,2539.0,0,35062.0
